time,volume,speed
7-8pm,195,21
9-10am,93,28
5-6pm,63,21
7-8pm,144,21
8-9am,97,6
8-9pm,64,6
5-6pm,89,26
5-6pm,131,27
7-8pm,160,9
7-8am,102,5
8-9am,73,5
7-8pm,173,23
8-9am,90,6
8-9am,64,25
8-9pm,94,16
5-6pm,114,10
9-10am,138,27
8-9pm,120,8
8-9pm,58,27
8-9am,137,15
6-7pm,178,28
5-6pm,185,21
7-8am,112,10
8-9pm,188,28
9-10am,130,9
6-7pm,185,24
6-7pm,82,6
7-8am,172,10
8-9pm,54,26
9-10am,90,15
5-6pm,77,20
6-7am,184,20
9-10am,121,5
7-8am,61,13
6-7pm,82,10
5-6pm,97,20
9-10am,111,7
6-7am,86,24
6-7am,148,8
8-9am,153,23
8-9am,84,7
7-8pm,150,23
7-8am,180,24
8-9pm,50,11
9-10am,54,24
9-10am,191,13
8-9pm,152,5
7-8pm,76,12
6-7pm,186,11
6-7pm,64,22
7-8pm,139,12
6-7pm,91,5
8-9am,173,15
9-10am,112,29
7-8pm,145,29
9-10am,101,22
8-9pm,145,27
6-7am,181,14
8-9am,192,7
5-6pm,78,11
8-9am,85,20
7-8pm,62,20
5-6pm,120,29
6-7am,135,24
7-8pm,77,21
7-8am,115,6
9-10am,94,5
6-7am,111,20
9-10am,183,16
6-7pm,77,9
7-8am,77,9
7-8am,157,27
6-7am,93,13
7-8am,133,13
5-6pm,79,7
7-8am,124,23
9-10am,177,20
9-10am,141,20
7-8pm,178,7
9-10am,170,24
7-8pm,76,28
9-10am,170,26
5-6pm,165,28
8-9pm,52,5
7-8pm,152,28
8-9am,186,24
6-7pm,111,15
6-7am,100,21
9-10am,108,12
7-8am,167,8
8-9pm,145,10
9-10am,162,12
7-8am,111,24
6-7pm,101,7
6-7pm,61,20
6-7pm,88,29
7-8am,179,7
9-10am,180,29
6-7pm,162,22
5-6pm,150,18
