time,volume,speed
7-8pm,194,11
9-10am,190,16
5-6pm,95,21
7-8pm,84,25
8-9am,183,28
8-9pm,131,24
5-6pm,164,9
5-6pm,96,8
7-8pm,59,16
7-8am,105,24
8-9am,79,28
7-8pm,158,22
8-9am,54,21
8-9am,168,23
8-9pm,82,13
5-6pm,167,8
9-10am,114,25
8-9pm,195,6
8-9pm,60,8
8-9am,134,6
6-7pm,75,19
5-6pm,112,6
7-8am,135,8
8-9pm,108,10
9-10am,76,11
6-7pm,147,14
6-7pm,154,23
7-8am,148,23
8-9pm,178,26
9-10am,198,16
5-6pm,104,7
6-7am,55,17
9-10am,144,22
7-8am,182,12
6-7pm,151,25
5-6pm,52,19
9-10am,72,5
6-7am,102,7
6-7am,132,12
8-9am,194,8
8-9am,134,20
7-8pm,127,27
7-8am,159,14
8-9pm,50,16
9-10am,100,18
9-10am,53,18
8-9pm,162,6
7-8pm,81,27
6-7pm,83,9
6-7pm,141,9
7-8pm,144,10
6-7pm,121,17
8-9am,88,13
9-10am,167,26
7-8pm,52,19
9-10am,172,18
8-9pm,99,28
6-7am,61,11
8-9am,103,29
5-6pm,182,24
8-9am,106,6
7-8pm,194,11
5-6pm,161,10
6-7am,96,21
7-8pm,134,29
7-8am,191,29
9-10am,115,6
6-7am,124,7
9-10am,152,9
6-7pm,87,9
7-8am,99,5
7-8am,147,12
6-7am,131,16
7-8am,79,28
5-6pm,128,8
7-8am,140,17
9-10am,101,27
9-10am,128,19
7-8pm,79,15
9-10am,155,14
7-8pm,100,7
9-10am,130,26
5-6pm,182,18
8-9pm,78,20
7-8pm,181,14
8-9am,187,14
6-7pm,194,16
6-7am,123,13
9-10am,66,5
7-8am,133,9
8-9pm,118,24
9-10am,83,12
7-8am,55,15
6-7pm,102,16
6-7pm,175,5
6-7pm,92,29
7-8am,164,26
9-10am,160,24
6-7pm,129,29
5-6pm,144,15
7-8pm,167,9
7-8am,193,19
7-8am,57,9
9-10am,181,16
7-8am,153,9
7-8am,181,21
6-7pm,74,21
9-10am,145,28
6-7pm,142,16
7-8pm,110,28
8-9pm,171,19
7-8pm,100,19
8-9pm,196,10
6-7pm,70,16
7-8pm,54,24
9-10am,141,22
6-7am,110,18
6-7pm,71,6
8-9pm,198,13
5-6pm,119,9
8-9pm,50,24
5-6pm,182,5
7-8am,61,27
7-8pm,139,7
5-6pm,95,10
8-9pm,83,9
7-8am,127,25
6-7am,94,9
9-10am,122,5
9-10am,75,21
9-10am,96,23
5-6pm,170,18
6-7am,105,16
5-6pm,143,14
7-8pm,156,24
5-6pm,112,25
6-7am,97,22
6-7am,110,28
7-8pm,130,15
6-7am,75,6
8-9pm,85,29
6-7am,50,22
9-10am,57,29
8-9pm,162,11
8-9pm,148,28
7-8pm,96,19
8-9am,176,15
8-9am,105,22
6-7am,63,27
8-9pm,77,16
8-9am,127,10
8-9am,179,24
6-7am,158,27
8-9am,63,17
5-6pm,105,24
7-8am,164,20
7-8pm,56,22
7-8am,52,14
6-7am,160,27
9-10am,156,12
7-8pm,67,22
6-7am,87,25
8-9pm,164,5
9-10am,64,27
7-8am,168,12
6-7am,77,10
8-9pm,88,9
7-8pm,66,19
7-8pm,135,26
6-7pm,175,19
8-9pm,93,6
5-6pm,74,5
8-9am,194,27
9-10am,62,27
8-9pm,74,15
6-7pm,117,14
8-9am,187,22
8-9am,116,22
6-7am,158,21
8-9am,195,12
5-6pm,160,19
7-8pm,160,12
6-7pm,83,21
8-9am,160,16
6-7am,57,12
5-6pm,162,29
7-8am,132,18
7-8pm,91,8
7-8pm,150,5
6-7pm,55,5
7-8pm,75,23
8-9am,113,20
6-7am,108,18
7-8pm,158,25
7-8pm,170,20
7-8am,82,9
7-8am,199,13
9-10am,70,6
5-6pm,119,22
8-9am,161,10
7-8pm,53,13
8-9pm,143,5
7-8pm,124,13
6-7am,111,29
9-10am,143,20
5-6pm,144,17
8-9pm,104,13
9-10am,186,25
6-7pm,180,17
5-6pm,80,13
7-8pm,89,15
7-8pm,85,8
5-6pm,55,6
7-8pm,115,10
8-9am,124,18
5-6pm,53,8
9-10am,128,10
5-6pm,183,23
8-9pm,167,10
7-8pm,162,6
8-9am,143,22
8-9am,111,17
6-7pm,128,13
9-10am,185,27
7-8am,75,23
7-8am,93,17
5-6pm,182,15
6-7pm,119,5
6-7am,167,28
5-6pm,117,26
6-7pm,68,11
9-10am,69,29
9-10am,162,25
9-10am,189,19
9-10am,96,5
9-10am,50,16
6-7pm,139,11
6-7pm,191,19
8-9am,113,25
8-9pm,87,23
7-8am,86,29
7-8pm,175,5
9-10am,188,21
6-7am,149,21
7-8pm,126,7
6-7pm,52,16
6-7am,183,10
6-7am,59,15
6-7am,54,7
8-9am,187,12
6-7pm,179,18
6-7am,62,18
9-10am,179,14
5-6pm,133,6
6-7am,114,18
8-9am,112,13
7-8pm,150,7
6-7pm,122,25
8-9pm,66,12
8-9am,58,20
6-7am,192,6
6-7pm,87,10
5-6pm,143,25
6-7am,144,29
8-9am,98,16
7-8am,118,9
9-10am,111,6
8-9pm,127,20
7-8pm,166,9
8-9am,169,19
6-7pm,186,16
8-9pm,125,8
8-9pm,84,19
8-9pm,50,15
6-7am,89,20
9-10am,113,27
6-7am,199,10
6-7pm,109,18
6-7am,113,22
7-8am,142,16
9-10am,121,15
9-10am,60,17
6-7pm,154,25
7-8pm,63,27
7-8am,109,15
8-9am,79,27
6-7am,84,20
5-6pm,54,19
6-7am,132,25
8-9pm,172,19
6-7am,127,29
8-9am,111,8
6-7am,181,15
7-8am,138,23
7-8am,91,19
9-10am,138,8
6-7pm,195,25
7-8pm,89,17
5-6pm,121,26
8-9pm,88,23
6-7am,153,6
6-7am,63,18
8-9am,81,8
6-7pm,174,20
7-8am,146,25
5-6pm,72,24
9-10am,112,18
7-8am,192,19
8-9pm,194,7
6-7pm,102,12
8-9pm,153,20
7-8pm,153,14
9-10am,88,8
7-8pm,183,22
8-9am,116,6
8-9pm,184,21
8-9am,91,17
6-7am,64,8
7-8pm,160,29
6-7pm,82,15
8-9pm,87,11
5-6pm,146,16
9-10am,82,14
7-8am,135,11
6-7pm,115,17
6-7pm,59,11
8-9am,54,28
7-8pm,172,21
8-9pm,123,14
8-9pm,146,14
6-7am,167,28
6-7am,87,8
9-10am,190,24
8-9am,96,8
6-7pm,158,26
8-9pm,64,11
5-6pm,185,26
8-9am,54,5
9-10am,96,16
9-10am,117,28
8-9am,125,17
9-10am,179,14
8-9am,144,19
7-8am,164,17
8-9am,85,27
7-8pm,75,26
8-9am,92,26
9-10am,76,25
8-9pm,118,26
7-8pm,197,13
9-10am,60,13
6-7am,123,19
6-7am,153,14
8-9pm,87,28
8-9pm,183,29
7-8pm,72,14
7-8am,96,12
8-9pm,139,28
6-7am,95,20
8-9am,156,21
9-10am,189,9
6-7am,190,8
6-7am,153,22
7-8am,160,28
7-8pm,153,23
7-8pm,109,8
6-7pm,149,11
7-8am,117,14
8-9am,182,29
7-8pm,169,22
9-10am,86,23
8-9pm,121,8
7-8am,176,14
8-9pm,155,5
6-7am,141,27
9-10am,80,22
9-10am,171,9
6-7am,186,19
7-8am,100,21
6-7am,78,7
